INFO 2025-04-19 22:41:35,888 autoreload 6468 7808 Watching for file changes with StatReloader
INFO 2025-04-20 04:29:10,032 basehttp 6468 17316 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 04:29:10,082 basehttp 6468 17316 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 04:29:14,329 basehttp 6468 17316 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 5262
INFO 2025-04-20 04:30:42,557 basehttp 6468 17316 "OPTIONS /api/documents/proforma-invoices/by-number/PRF-5525ECCB/ HTTP/1.1" 200 0
INFO 2025-04-20 04:30:42,703 basehttp 6468 17316 "GET /api/documents/proforma-invoices/by-number/PRF-5525ECCB/ HTTP/1.1" 200 829
INFO 2025-04-20 04:30:42,742 basehttp 6468 17316 "GET /api/documents/buyers/ HTTP/1.1" 200 131
INFO 2025-04-20 04:30:42,742 basehttp 6468 2368 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 04:30:42,789 basehttp 6468 2368 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 04:30:47,996 basehttp 6468 2368 "OPTIONS /api/documents/proforma-invoices/12/ HTTP/1.1" 200 0
INFO 2025-04-20 04:30:48,045 basehttp 6468 2368 "DELETE /api/documents/proforma-invoices/12/ HTTP/1.1" 204 0
INFO 2025-04-20 04:30:49,579 basehttp 6468 2368 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 4432
INFO 2025-04-20 04:30:52,360 basehttp 6468 2368 "OPTIONS /api/documents/proforma-invoices/by-number/PRF-007A4985/ HTTP/1.1" 200 0
INFO 2025-04-20 04:30:52,401 basehttp 6468 2368 "GET /api/documents/proforma-invoices/by-number/PRF-007A4985/ HTTP/1.1" 200 795
INFO 2025-04-20 04:30:52,437 basehttp 6468 2368 "GET /api/documents/buyers/ HTTP/1.1" 200 131
INFO 2025-04-20 04:30:52,437 basehttp 6468 17316 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 04:30:52,495 basehttp 6468 2368 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 04:30:56,032 basehttp 6468 2368 "OPTIONS /api/documents/proforma-invoices/15/ HTTP/1.1" 200 0
INFO 2025-04-20 04:30:56,074 basehttp 6468 2368 "DELETE /api/documents/proforma-invoices/15/ HTTP/1.1" 204 0
INFO 2025-04-20 04:30:57,570 basehttp 6468 2368 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 3636
INFO 2025-04-20 04:31:01,439 basehttp 6468 2368 "OPTIONS /api/documents/proforma-invoices/by-number/PRF-C2BA967A/ HTTP/1.1" 200 0
INFO 2025-04-20 04:31:01,474 basehttp 6468 2368 "GET /api/documents/proforma-invoices/by-number/PRF-C2BA967A/ HTTP/1.1" 200 829
INFO 2025-04-20 04:31:01,511 basehttp 6468 2368 "GET /api/documents/buyers/ HTTP/1.1" 200 131
INFO 2025-04-20 04:31:01,511 basehttp 6468 17316 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 04:31:01,565 basehttp 6468 17316 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 04:31:05,181 basehttp 6468 17316 "OPTIONS /api/documents/proforma-invoices/16/ HTTP/1.1" 200 0
